Mode,Ref,New,Shape,CPU ms,GPU ms,Speedup,Mask true,CPU D finite,GPU D finite,CPU P finite,GPU P finite,CPU S finite,GPU S finite,CPU D mean,GPU D mean,CPU D std,GPU D std,CPU S mean,GPU S mean,CPU S std,GPU S std,D max abs error,D mean abs error,P max abs error,S max abs error,S mean abs error
fixed_beta_no_shift,aligned_eso085-030-004.fit,aligned_eso085-030-005.fit,682x1024,3474.85,3091.9,1.12386,560,True,True,True,True,True,True,-0.0322851,-0.032285,1.66761,1.66791,-1.61439e-05,-1.61727e-05,0.000294349,0.000294179,0.0244356,0.0235708,4.17964e-06,0.00296631,9.40252e-06
default_beta_shift,aligned_eso085-030-004.fit,aligned_eso085-030-005.fit,682x1024,12748.2,3301.06,3.86186,560,True,True,True,True,True,True,-0.0295762,-0.029578,1.62938,1.62961,-1.44851e-05,-1.45159e-05,0.000279419,0.000279248,0.256075,0.023801,4.20306e-06,0.00291526,9.15708e-06
