Rank,Device,Device name,Pairs,Repeat pairs,CPU workers,IO workers,GPU workers,Prefetch,Elapsed ms,Throughput pairs/s,Task mean ms,Task p50 ms,Task p95 ms,Failures,Finite
1,0,Single CUDA device,6,2,11,auto,2,3,39157.35489999998,0.15322819005615662,12708.100583333333,11950.15669999998,16518.912199999988,0,True
2,0,Single CUDA device,6,2,11,auto,2,4,41331.883,0.14516660704956386,13354.419549999999,13772.199899999976,13995.155799999964,0,True
3,0,Single CUDA device,6,2,11,auto,2,2,41397.358499999995,0.14493700054800196,13288.148733333335,12584.959200000014,16730.98060000001,0,True
4,0,Single CUDA device,6,2,11,auto,2,1,42236.405599999984,0.1420577621824451,13556.386750000001,13085.16689999999,16673.7986,0,True
5,0,Single CUDA device,6,2,11,auto,1,1,50069.9787,0.1198324655851744,8320.828083333332,7863.925099999996,9652.174099999997,0,True
6,0,Single CUDA device,6,2,11,auto,1,3,50660.19700000001,0.11843632569704526,8420.488283333332,7878.624599999995,9615.301099999982,0,True
7,0,Single CUDA device,6,2,11,auto,1,2,51668.6119,0.11612480246832403,8587.43331666667,8034.203400000009,9744.428100000001,0,True
8,0,Single CUDA device,6,2,11,auto,1,4,53343.14549999999,0.11247946335898062,8866.534416666673,8357.574900000003,10140.379100000018,0,True
